Rand   db  177,192,144,29,123,136,217,38,107,194,193,136
db  184,201,164,58,139,127,147,142,92,48,219,31
db  58,127,141,87,51,193,140,177,119,152,137,218
db  107,215,92,134,124,171,168,142,34,208,217,160
db  94,133,217,46,162,195,108,99,108,69,36,191
db  33,151,142,208,138,26,191,192,155,22,38,178
db  157,215,138,45,179,140,36,73,165,141,41,159
db  45,135,92,198,199,90,56,151,150,45,42,21
db  205,165,115,204,174,166,93,117,164,34,179,159
db  140,215,119,38,167,86,176,184,100,132,27,90
db  217,29,206,175,54,59,152,124,195,56,76,192
db  26,34,30,207,70,121,98,98,29,120,215,207
db  109,218,127,108,162,37,151,200,75,194,200,51
db  112,165,41,28,25,187,169,105,24,163,52,159
db  81,99,51,27,58,125,87,129,189,32,169,213
db  35,25,85,76,85,170,98,25,161,137,35,43
db  107,48,114,146,57,82,148,168,53,110,87,202
db  204,200,203,155,193,113,70,107,97,107,42,126
db  113,199,73,173,58,79,171,193,95,21,103,167
db  196,60,135,144,89,138,215,100,200,33,190,27
db  108,144,176,216,115,145,80,117,65,60,76,86
db  214,63,162,44,28,185,101,216,118,198,56,181
db  81,185,51,180,72,100,132,86,168,160,174,29
db  156,194,27,131,147,219,89,84,34,117,112,175
db  158,25,126,120,52,125,93,170,161,94,85,70
db  187,190,20,197,26,69,94,20,59,197,123,109
db  187,64,129,173,122,210,74,142,61,180,214,92
db  169,198,38,199,152,88,198,125,187,21,190,120
db  207,197,116,124,117,170,43,119,37,193,95,167
db  35,193,138,207,215,73,85,84,155,132,138,85
db  93,53,31,113,37,146,121,213,207,130,46,35
db  93,139,53,138,78,118,28,198,126,38,25,175
db  167,50,56,206,73,44,44,208,20,103,57,45
db  41,131,51,130,206,173,207,205,40,26,30,56
db  176,206,65,46,123,72,76,43,210,146,189,203
db  151,36,184,57,194,156,90,217,211,99,23,215
db  113,24,48,48,150,103,28,158,80,69,88,48
db  139,196,127,133,154,76,201,88,179,31,211,83
db  32,36,201,214,208,168,90,161,72,146,123,211
db  112,178,114,42,207,181,143,193,99,45,31,110
db  28,182,178,192,46,182,38,25,181,32,185,92
db  20,61,201,42,81,32,122,59,179,43,206,184
db  63,144,168,47,207,78,207,104,40,27,20,191
db  111,162,28,133,136,208,170,94,24,183,26,30
db  198,127,217,148,109,172,181,76,89,176,110,192
db  77,61,164,192,90,144,101,56,83,56,97,129
db  202,164,60,150,40,73,120,134,84,47,99,46
db  66,102,87,40,43,149,191,88,94,81,149,94
db  162,61,113,201,168,205,174,193,84,212,188,42
db  156,118,158,67,158,132,146,171,164,59,27,191
db  185,117,101,94,179,60,140,148,65,181,147,184
db  89,219,194,135,213,118,96,97,59,71,169,21
db  126,150,162,56,96,98,128,155,42,94,203,167
db  111,71,131,54,130,143,114,24,55,143,32,78
db  216,158,177,155,133,62,163,112,95,138,84,91
db  45,198,168,167,104,141,148,30,68,164,22,131
db  188,153,88,62,197,158,21,79,156,120,58,106
db  127,42,50,159,72,48,71,89,109,61,170,72
db  125,174,175,219,114,168,217,209,42,152,181,73
db  188,54,107,23,69,210,62,219,55,177,103,128
db  160,153,157,147,137,147,144,136,144,71,88,101
db  90,196,200,128,46,128,160,143,119,154,94,79
db  211,179,146,58,129,27,77,205,43,216,161,91
db  159,99,62,214,167,23,85,124,115,201,144,197
db  51,133,130,178,57,120,100,193,60,194,119,128
db  77,33,55,150,41,105,74,198,74,83,194,101
db  148,104,84,140,167,104,116,64,121,199,81,81
db  99,142,141,141,146,91,55,48,114,114,71,162
db  142,177,132,81,29,162,75,38,83,88,124,92
db  177,58,151,172,86,183,196,66,188,63,101,130
